Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS04485;-;DUF3055 domain-containing protein;-1.39;0.28458;0.43;0.86942;0.3;0.98416;0.01;1
SAUSA300_RS04490;-;DUF86 domain-containing protein;-0.58;0.99554;-0.33;0.94943;-0.41;0.94332;-0.3;1
SAUSA300_RS04495;-;TIGR01457 family HAD-type hydrolase;0.59;0.77745;0.15;0.91359;0.46;0.20741;0.22;0.87719
SAUSA300_RS04500;-;D-glycerate dehydrogenase;0.41;1;0.08;1;0.2;1;0.39;0.84379
SAUSA300_RS04505;-;hypothetical protein;-2.46;1;1.51;0.59997;2.25;1;-1.67;1
SAUSA300_RS04530;dltD;D-alanyl-lipoteichoic acid biosynthesis protein DltD;-3.6;0.3936;-1.38;0.64282;-0.15;1;-1.69;0.65789
SAUSA300_RS04535;-;NifU family protein;-1.01;0.99946;0.47;1;0.76;0.90823;0.87;0.92432
SAUSA300_RS04540;-;YuzD family protein;0.9;0.42964;-0.1;1;-0.18;0.9968;-0.21;0.92617
SAUSA300_RS04545;-;NAD(P)/FAD-dependent oxidoreductase;-0.04;1;0.58;0.30895;0.53;0.55732;0.68;0.32488
SAUSA300_RS04550;-;YuzB family protein;-0.47;1;0.62;0.77285;0.29;1;-0.13;1
SAUSA300_RS04555;-;iron-sulfur cluster assembly accessory protein;1.17;1;0.42;1;-0.22;1;-0.24;1
SAUSA300_RS04560;-;NAD(P)/FAD-dependent oxidoreductase;2.65;0.67203;3.25;0.01262;3.42;0;3.05;0.00501
SAUSA300_RS04565;-;M17 family metallopeptidase;0.38;0.85259;-0.32;0.7068;-0.02;1;-0.17;0.961
SAUSA300_RS04570;-;Na+/H+ antiporter family protein;-1.6;0;-1;0;-0.42;0.38717;-0.68;0.08223
SAUSA300_RS04575;-;PaaI family thioesterase;-0.45;0.8632;-0.32;0.94065;-0.24;0.98022;-0.03;1
SAUSA300_RS04580;-;FAD/NAD(P)-binding protein;1.32;0.32668;0.12;1;0.38;0.64931;0.25;0.92617
SAUSA300_RS04585;mnhG1;Na+/H+ antiporter Mnh1 subunit G;3.51;0.8632;0.16;1;0.58;0.99166;1.33;0.74492
SAUSA300_RS04620;-;kinase-associated lipoprotein B;-0.04;1;-0.59;0.79712;-0.45;0.93389;-0.8;0.67537
SAUSA300_RS04625;-;peptidylprolyl isomerase;-0.69;0.81531;0.1;1;0.65;0.57579;0.16;1
SAUSA300_RS04635;-;NADH-dependent flavin oxidoreductase;1.22;0.2005;0.09;1;0.16;0.99975;0.05;1
SAUSA300_RS04640;-;ornithine--oxo-acid transaminase;-0.42;1;0.72;0.52664;-0.03;1;0.56;0.71684
SAUSA300_RS04645;-;Glu/Leu/Phe/Val dehydrogenase;0.57;0.99226;0.85;0.75694;0.48;0.99166;0.44;1
SAUSA300_RS04655;-;glycerophosphodiester phosphodiesterase;0.37;1;-0.04;1;-0.11;1;0.22;0.91748
SAUSA300_RS04660;argH;argininosuccinate lyase;1.08;0.09266;1.38;0;1.56;0;1.13;0
SAUSA300_RS04665;-;argininosuccinate synthase;1.3;0.33499;0.59;0.52664;0.63;0.47711;0.56;0.62165
SAUSA300_RS04675;-;TVP38/TMEM64 family protein;-0.47;0.95283;-0.14;1;-0.19;1;-0.22;1
SAUSA300_RS04680;lepB;signal peptidase I;2.35;0.46496;0.92;0.63204;0.88;0.74561;0.75;0.59265
SAUSA300_RS04685;lepB;signal peptidase I;-1.7;1;0.55;1;-0.25;1;-0.08;1
SAUSA300_RS04695;addA;helicase-exonuclease AddAB subunit AddA;-0.56;1;-0.56;1;-0.28;1;-0.05;1
SAUSA300_RS04700;-;fumarylacetoacetate hydrolase family protein;0.98;0.64902;0.59;0.62465;0.71;0.401;0.77;0.3936
SAUSA300_RS04705;-;YisL family protein;1.22;0.64902;0.49;0.44627;0.42;0.7907;0.29;0.74492
SAUSA300_RS04710;-;CoA-disulfide reductase;0.36;1;-0.13;1;0.24;0.99761;0.25;0.98454
SAUSA300_RS04715;-;Cof-type HAD-IIB family hydrolase;0.6;0.63928;-0.54;0.45295;0.15;0.9968;-0.2;1
SAUSA300_RS04720;-;metal-sulfur cluster assembly factor;-1.34;0.67203;0.26;1;0.3;1;1.01;0.59265
SAUSA300_RS04725;-;acetyltransferase;-0.18;0.99124;-0.08;0.99283;-0.06;1;-0.24;0.63899
SAUSA300_RS04730;clpB;ATP-dependent chaperone ClpB;-0.06;1;0;1;0.16;0.9968;0.18;0.92617
SAUSA300_RS04735;-;LysR family transcriptional regulator;0.15;1;0;1;0.12;0.98853;-0.08;1
SAUSA300_RS04740;-;LeuA family protein;-0.38;0.85259;-0.93;0.00693;-0.57;0.31313;-0.97;0.00501
SAUSA300_RS04745;-;L-threonylcarbamoyladenylate synthase;0.13;1;-0.08;1;-0.03;1;-0.34;0.62165
SAUSA300_RS04750;-;membrane protein;0.19;1;-0.21;0.94689;-0.12;1;-0.17;0.961
SAUSA300_RS04755;-;YbhB/YbcL family Raf kinase inhibitor-like protein;0.24;1;-0.53;0.86942;-0.32;1;-0.3;1
SAUSA300_RS04760;-;MAP domain-containing protein;-1.24;0.85259;0.15;1;-0.27;1;0.05;1
SAUSA300_RS04765;-;YjzD family protein;-1.91;0.425;-0.53;0.8569;0.71;0.92568;-0.12;1
SAUSA300_RS04780;-;DUF3899 domain-containing protein;-0.06;1;1.07;0.27878;1.32;0.07197;1.02;0.51106
SAUSA300_RS04785;-;ABC transporter permease;2;0.23253;0.94;0.2945;0.93;0.28998;0.96;0.26219
SAUSA300_RS04790;-;ABC transporter permease;0.72;0.94265;0.26;0.99426;0.61;0.75076;0.04;1
SAUSA300_RS04795;-;ABC transporter ATP-binding protein;2.19;0.62937;1.72;0;2.05;0;2.07;0
SAUSA300_RS04800;-;ATP-binding cassette domain-containing protein;0.05;1;0.02;1;0.22;1;-0.07;1
SAUSA300_RS04805;-;peptide ABC transporter substrate-binding protein;0.92;0.45917;0.4;0.53236;0.31;0.92568;0.32;0.83319
SAUSA300_RS04810;-;ABC transporter substrate-binding protein;-0.13;1;-0.23;0.86447;-0.12;1;-0.42;0.59265
SAUSA300_RS04815;-;ABC transporter ATP-binding protein;-0.13;1;-0.44;0.61467;-0.31;0.90643;-0.49;0.71063
SAUSA300_RS04820;-;dipeptide ABC transporter ATP-binding protein;0.21;1;-0.21;0.88768;0.23;0.87299;0;1
SAUSA300_RS04825;-;ABC transporter permease;0.46;0.85259;0.02;1;0.16;0.94332;0.14;1
SAUSA300_RS04830;-;ABC transporter permease;0.64;0.85259;-0.13;1;0.12;1;0.09;1
SAUSA300_RS04835;trpS;tryptophan--tRNA ligase;-1.9;0.76439;-1.99;0.7068;-0.76;1;-0.73;0.92432
SAUSA300_RS04840;spxA;transcriptional regulator SpxA;-1.03;0.99554;-1.66;0.87871;-1.19;1;-1.57;1
SAUSA300_RS04845;mecA;adaptor protein MecA;-0.4;0.85259;0.01;1;-0.12;1;-0.03;1
SAUSA300_RS04850;-;competence protein CoiA;0.02;1;-0.17;1;-0.03;1;0.12;1
SAUSA300_RS04855;pepF;oligoendopeptidase F;0.28;0.99124;-0.31;0.59997;-0.1;1;0;1
SAUSA300_RS04860;yjbH;protease adaptor protein YjbH;2.06;0.60101;1.17;0.72823;1.81;0.24623;1.07;0.7329
SAUSA300_RS04865;-;truncated hemoglobin YjbI;-2.07;1;-1.01;1;-1.51;1;-1.18;1
SAUSA300_RS04870;-;CYTH domain-containing protein;0.14;1;0.54;0.47818;0.56;0.44542;0.52;0.56412
SAUSA300_RS04875;-;hypothetical protein;0.65;1;2.92;0.98589;3.51;0.10683;2.24;0.45303
SAUSA300_RS04880;-;GTP pyrophosphokinase family protein;-0.15;1;1.44;1;-0.15;1;-0.15;1
SAUSA300_RS04890;-;RluA family pseudouridine synthase;0.16;1;0.08;1;0.16;0.99761;0.04;1
SAUSA300_RS04895;mgtE;magnesium transporter;0.23;1;-0.27;0.7068;-0.5;0.2807;-0.29;0.65789
SAUSA300_RS04900;-;monovalent cation:proton antiporter family protein;0.21;1;0.21;0.75694;0.29;0.55722;0.14;0.961
SAUSA300_RS04910;cozEa;cell elongation protein CozEa;0.3;1;-0.24;0.66252;-0.01;1;-0.2;0.91748
SAUSA300_RS04915;-;alanine:cation symporter family protein;0.52;0.64902;-0.19;0.8327;-0.1;1;-0.16;0.93411
SAUSA300_RS04920;-;esterase family protein;0.05;1;-0.02;1;-0.1;1;-0.33;0.89558
SAUSA300_RS04925;-;YjcG family protein;0.46;0.98491;-0.17;1;0.29;0.98022;-0.62;0.53705
SAUSA300_RS04930;-;MFS transporter;-1.32;0.34093;-1.98;0.00979;-1.26;0.16595;-1.17;0.20585
SAUSA300_RS04935;-;diglucosyl diacylglycerol synthase;-0.05;1;-0.04;1;-0.08;0.98022;-0.1;1
SAUSA300_RS04945;-;YueH family protein;2.22;0.85259;0.71;0.53236;0.43;0.89681;0.19;1
SAUSA300_RS04950;-;peptide chain release factor 3;0.6;0.76439;-0.23;0.8327;-0.11;1;0.11;1
SAUSA300_RS04960;-;trypsin-like peptidase domain-containing protein;0.1;1;-0.05;1;0.08;1;0.31;0.59265
SAUSA300_RS04965;-;TrkH family potassium uptake protein;0.11;1;0.04;1;0.53;0.18407;0.61;0.04397
SAUSA300_RS04970;-;bifunctional metallophosphatase/5'-nucleotidase;0.66;0.62937;0.11;1;0.35;0.74561;0.05;1
SAUSA300_RS04985;-;competence protein ComK;-1.14;0.19062;-0.16;1;0.36;0.87315;0.12;1
SAUSA300_RS04990;-;IDEAL domain-containing protein;-0.19;1;-0.35;1;0.02;1;0;1
SAUSA300_RS04995;-;lipoate--protein ligase;-0.1;1;-0.32;0.9686;-0.13;1;-0.47;0.79675
SAUSA300_RS05000;-;YkvS family protein;-2.56;1;1.17;0.8327;1.38;0.76849;-0.73;1
SAUSA300_RS05005;-;CPBP family glutamic-type intramembrane protease;-0.92;0.0138;-0.45;0.26686;-0.15;0.9646;-0.32;0.62165
SAUSA300_RS05015;-;hypothetical protein;-3.08;1;1.42;1;1.36;0.88965;-2.03;1
SAUSA300_RS05020;-;bacteriocin-associated integral membrane family protein;0.24;0.89432;-0.32;0.53236;-0.14;0.99166;-0.25;0.69663
SAUSA300_RS05025;-;YxeA family protein;-1.59;0.03368;-0.76;0.2945;-0.46;0.80514;-0.69;0.4201
SAUSA300_RS05030;-;ABC transporter ATP-binding protein;-0.74;0.64902;-0.57;0.52664;-0.29;0.80514;-0.47;0.65789
SAUSA300_RS05040;-;hypothetical protein;0.02;1;0.42;0.75694;0.17;1;-0.17;1
SAUSA300_RS05045;-;glycosyltransferase;0.12;1;-0.15;0.96117;-0.22;0.95945;-0.53;0.3464
SAUSA300_RS05050;-;DoxX family protein;-0.13;1;-0.28;1;-0.39;1;-0.24;1
SAUSA300_RS05055;-;ABC transporter substrate-binding protein;0.75;0.64902;0.11;1;0.22;0.9646;0.23;0.95383
SAUSA300_RS05060;-;SAR1012 family small protein;0.27;1;-0.67;0.66252;-0.67;0.87315;-0.46;0.9739
SAUSA300_RS05065;-;TM2 domain-containing protein;1.12;0.95283;0.09;1;0.24;1;-0.29;1
SAUSA300_RS05070;-;GNAT family N-acetyltransferase;0.76;0.85259;0.61;0.17944;0.67;0.1042;0.95;0
SAUSA300_RS05080;-;isochorismate synthase MenF;-0.32;0.99226;-0.23;0.99283;-0.5;0.8348;-0.35;0.91748
SAUSA300_RS05085;menD;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase;-1.9;0.02372;-1.14;0.14931;-0.69;0.5614;-1.06;0.25374
SAUSA300_RS05090;menH;2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase;-0.37;0.88771;-0.48;0.52664;-0.18;1;-0.28;0.78233
SAUSA300_RS05095;menB;1%2C4-dihydroxy-2-naphthoyl-CoA synthase;-2.88;0.38753;-0.44;1;-0.56;1;-0.18;1
SAUSA300_RS05100;sspC;staphostatin B;-0.23;1;-0.46;0.52664;0.07;1;-0.32;0.69663
SAUSA300_RS05105;sspB;cysteine protease staphopain B;0.38;0.98491;0.13;1;0.57;0.32895;0.17;1
SAUSA300_RS05110;sspA;Glu-specific serine endopeptidase SspA;0.01;1;0.18;1;0.75;0.49446;0.22;1
SAUSA300_RS05115;-;aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme;-0.6;0.48025;-0.53;0.41821;-0.43;0.61022;-0.46;0.59265
SAUSA300_RS05120;-;acyltransferase family protein;-0.01;1;-0.1;0.95761;-0.04;1;-0.17;0.87719
SAUSA300_RS05125;-;MarR family transcriptional regulator;-1.16;0.67203;0.9;0.42241;0.59;0.8831;0.51;0.7329
SAUSA300_RS05130;-;hypothetical protein;-0.64;1;-1.44;0.49996;-0.48;0.98416;-0.76;0.75246
SAUSA300_RS05135;-;glucosaminidase domain-containing protein;-0.07;1;-0.06;1;0.1;0.98675;-0.01;1
SAUSA300_RS05140;-;GNAT family N-acetyltransferase;0.73;0.90275;-0.15;1;0.21;1;0.21;1
SAUSA300_RS05145;-;osmotic stress response protein;-0.93;0.88771;-0.3;1;-0.5;0.98416;-0.42;1
SAUSA300_RS05150;-;polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase;0.27;1;-1.53;0.20793;-1.09;0.61022;-1.42;0.32875
SAUSA300_RS05155;fmtA;teichoic acid D-Ala esterase FmtA;-1.4;0;-0.76;0;-0.84;0;-0.73;0
SAUSA300_RS05160;qoxD;cytochrome aa3 quinol oxidase subunit IV;3.9;0.99226;1.87;1;1.9;0.9968;2.54;0.89558
SAUSA300_RS05170;qoxB;cytochrome aa3 quinol oxidase subunit I;1.68;0.38277;0.82;0.6838;2.06;0;1.48;0.10796
SAUSA300_RS05175;qoxA;cytochrome aa3 quinol oxidase subunit II;0.38;1;1.8;0.6838;0.72;0.98416;0.88;0.86536
SAUSA300_RS05185;-;DUF5011 domain-containing protein;-1.28;0.38277;-0.71;0.66252;-0.41;0.94332;-0.88;0.47213
SAUSA300_RS05190;folD;bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD;-0.17;1;1.06;0.24951;0.67;0.82665;0.83;0.59265
SAUSA300_RS05195;purE;5-(carboxyamino)imidazole ribonucleotide mutase;2.08;0.84393;2.17;0.10754;2;0.09725;2.01;0.33387
SAUSA300_RS05200;purK;5-(carboxyamino)imidazole ribonucleotide synthase;1.1;0.43185;1.53;0;1.26;0;1.24;0
SAUSA300_RS05205;-;phosphoribosylaminoimidazolesuccinocarboxamide synthase;-0.25;1;1.05;0.05661;0.87;0.22016;1.11;0.17306
SAUSA300_RS05210;purS;phosphoribosylformylglycinamidine synthase subunit PurS;-0.37;1;1.08;0.12711;1.02;0.29667;0.61;0.78233
SAUSA300_RS05215;purQ;phosphoribosylformylglycinamidine synthase I;0.09;1;0.97;0.2729;0.35;0.94983;0.62;0.63899
SAUSA300_RS05220;purL;phosphoribosylformylglycinamidine synthase subunit PurL;0.04;1;0.76;0.09747;0.37;0.90823;0.51;0.59265
SAUSA300_RS05225;purF;amidophosphoribosyltransferase;-0.01;1;0.56;0.42241;0.51;0.5947;0.39;0.84379
SAUSA300_RS05230;purM;phosphoribosylformylglycinamidine cyclo-ligase;0.33;1;1.55;0;1.41;0.07197;1.04;0.20585
SAUSA300_RS05235;purN;phosphoribosylglycinamide formyltransferase;0.03;1;0.9;0.10292;0.43;0.90643;0.09;1
SAUSA300_RS05240;purH;bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase;0.1;1;1.17;0.00395;1.27;0.00739;0.98;0.0731
SAUSA300_RS05245;purD;phosphoribosylamine--glycine ligase;1.19;0.27121;1.68;0;1.65;0;1.64;0
SAUSA300_RS05250;-;energy-coupling factor transporter transmembrane protein EcfT;0.56;0.61781;-0.57;0.18797;-0.01;1;-0.23;0.82127
SAUSA300_RS05255;-;energy-coupling factor ABC transporter ATP-binding protein;-1.29;0.0138;-0.61;0.24548;-0.08;1;-0.42;0.62165
SAUSA300_RS05260;-;ECF transporter S component;-0.04;1;-0.15;1;-0.15;1;0.34;0.99525
SAUSA300_RS05270;graF;glycopeptide resistance-associated protein GraF;1.07;1;-0.21;1;-0.84;1;0.01;1
SAUSA300_RS05275;-;hypothetical protein;-1.95;0.2005;0.11;1;-1.63;0.24623;-0.22;1
SAUSA300_RS05280;-;class I SAM-dependent rRNA methyltransferase;0.69;0.69065;-0.38;0.59997;-0.35;0.61022;0.05;1
SAUSA300_RS05285;-;hypothetical protein;-0.04;1;0.18;1;0.78;0.58751;-0.31;1
SAUSA300_RS05295;ptsP;phosphoenolpyruvate--protein phosphotransferase;-0.25;1;0.9;0.8569;0.21;1;0.25;1
SAUSA300_RS05300;nrdH;glutaredoxin-like protein NrdH;0.26;1;-0.89;0.99426;-1.02;0.94332;-0.59;1
SAUSA300_RS05305;-;cytochrome ubiquinol oxidase subunit I;-0.57;0.84393;-0.02;1;0.24;0.98675;0.25;0.87719
SAUSA300_RS05310;-;cytochrome d ubiquinol oxidase subunit II;0.93;0.8278;0.19;0.95324;0.32;0.94332;0.25;0.96793
SAUSA300_RS05315;-;TrkA family potassium uptake protein;-0.08;1;0.37;1;0.43;1;0.29;1
SAUSA300_RS05325;-;ribonuclease J;-2.77;0.9575;-1.07;1;-0.48;1;-1.48;1
SAUSA300_RS05340;def;peptide deformylase;2.34;0.98197;2.2;0.16894;1.91;0.94332;1.94;0.12937
SAUSA300_RS05345;-;YkyA family protein;-0.18;1;-0.59;0.63204;-0.21;1;-0.33;1
SAUSA300_RS05355;-;alpha-ketoacid dehydrogenase subunit beta;1.46;0.99124;0.45;1;2.48;0.23916;1.45;0.74492
SAUSA300_RS05365;lpdA;dihydrolipoyl dehydrogenase;-1.33;0.64902;-0.16;1;-0.18;0.97418;-0.52;0.59265
SAUSA300_RS05370;-;UPF0223 family protein;-0.06;1;-0.58;0.81241;-0.37;0.98675;-0.74;0.65789
SAUSA300_RS05375;-;XRE family transcriptional regulator;-0.32;1;-0.09;1;0.02;1;0.02;1
SAUSA300_RS05380;-;ABC transporter ATP-binding protein;0.47;1;0.34;0.81241;0.74;0.16609;-0.13;1
SAUSA300_RS05385;-;ABC transporter permease;0.28;1;0.01;1;0.37;0.93389;0.04;1
SAUSA300_RS05390;-;ABC transporter permease;-0.01;1;-0.06;1;0.16;1;-0.05;1
SAUSA300_RS05395;-;spermidine/putrescine ABC transporter substrate-binding protein;-0.15;1;0.86;0.14931;0.75;0.32895;0.4;0.82127
SAUSA300_RS05400;-;DUF4064 domain-containing protein;-1.87;0.3936;0.24;1;-1.23;0.54736;-0.01;1
SAUSA300_RS05405;-;DUF4064 domain-containing protein;-0.64;0.97212;-0.62;0.66252;-0.26;1;-0.53;0.75246
SAUSA300_RS05410;-;Nramp family divalent metal transporter;0.48;0.85259;-0.02;1;0.44;0.27013;-0.03;1
SAUSA300_RS05415;-;YktB family protein;0.65;0.98491;-0.23;1;0.04;1;0.26;1
SAUSA300_RS05420;-;inositol monophosphatase;-1.59;0.09357;-0.29;1;-0.21;1;-0.84;0.51106
SAUSA300_RS05425;-;DUF5325 family protein;0.66;1;1.48;0.09618;0.75;0.76849;1.04;0.40935
SAUSA300_RS05430;typA;translational GTPase TypA;0.3;1;0.24;0.91359;0.33;0.802;0.07;1
SAUSA300_RS05435;-;YlaI family protein;-0.64;1;-0.82;0.95324;-1.06;0.98853;-1.35;0.97746
SAUSA300_RS05440;-;hypothetical protein;-0.91;0.69065;0.04;1;0.14;1;0.2;1
SAUSA300_RS05445;-;YlaN family protein;-1.59;0.3021;-0.39;0.88768;0.15;1;0.16;1
SAUSA300_RS05450;ftsW;cell division protein FtsW;-0.92;1;-0.49;1;-0.35;1;-0.18;1
SAUSA300_RS05455;-;pyruvate carboxylase;0.21;0.96622;0.07;1;0.08;1;0.08;0.99525
SAUSA300_RS05460;-;heme A synthase;2.15;0.7041;2.58;0.00979;2.19;0.01053;2.06;0.13559
SAUSA300_RS05465;cyoE;heme o synthase;1.63;1;0.29;1;1.49;0.14784;1.37;0.59265
SAUSA300_RS05470;-;DUF420 domain-containing protein;0.03;1;-0.34;1;0.61;0.98022;-0.67;1
SAUSA300_RS05480;-;CAP domain-containing protein;1.68;0.22161;0.91;0.63204;0.78;0.63197;1.3;0.55447
SAUSA300_RS05485;-;YlbF family regulator;-0.14;1;0.94;0.31189;0.69;0.802;0.85;0.59265
SAUSA300_RS05490;-;glycerophosphodiester phosphodiesterase;0.98;0.63928;-0.03;1;-0.21;1;-0.06;1
SAUSA300_RS05495;-;YlbG family protein;-0.74;0.81531;-0.37;0.8569;-0.42;0.91805;-0.22;1
SAUSA300_RS05500;-;hypothetical protein;0.27;1;-0.45;0.86942;-0.35;0.93389;-0.14;1
SAUSA300_RS05505;rsmD;16S rRNA (guanine(966)-N(2))-methyltransferase RsmD;-1.47;0.64902;-0.81;0.89186;-0.81;0.87315;-0.84;0.79675
SAUSA300_RS05515;-;nucleotidyltransferase;0.01;1;0.01;1;0.16;1;0.25;0.92432
SAUSA300_RS05520;-;DUF177 domain-containing protein;-2.54;0.99946;0.1;1;-2.54;0.98022;-1.71;1
SAUSA300_RS05535;isdB;heme uptake protein IsdB;-0.05;1;-0.48;0.44963;-0.4;0.63197;-0.26;0.79675
SAUSA300_RS05540;isdA;LPXTG-anchored heme-scavenging protein IsdA;0.23;1;-0.23;0.94065;-0.08;1;-0.18;0.94334
SAUSA300_RS05545;isdC;heme uptake protein IsdC;0.69;0.64902;0.18;0.90175;0.32;0.63197;0.3;0.59265
SAUSA300_RS05550;isdD;iron-regulated surface determinant protein IsdD;0.07;1;-0.41;0.55493;-0.53;0.46383;-0.4;0.65789
SAUSA300_RS05555;isdE;heme ABC transporter substrate-binding protein IsdE;0.32;0.99946;-0.31;0.86447;-0.13;1;-0.26;0.92617
SAUSA300_RS05560;isdF;hemin ABC transporter permease protein IsdF;-0.12;1;-0.18;0.94689;-0.09;1;0.24;0.97746
SAUSA300_RS05565;srtB;class B sortase;-0.27;1;-0.32;0.94689;0.2;1;0.14;1
SAUSA300_RS05570;isdG;staphylobilin-forming heme oxygenase IsdG;0.4;0.99554;-0.37;0.8569;0.27;0.97418;-0.23;1
SAUSA300_RS05575;-;hypothetical protein;0.7;1;1.99;0.39994;2.17;0.27013;2.49;0.38277
SAUSA300_RS05580;-;RNA methyltransferase;0.25;1;0.77;0.31652;1.04;0.06034;0.28;0.92617
SAUSA300_RS05595;rnhC;ribonuclease HIII;-1.5;0.49397;-0.05;1;-0.39;0.97418;-0.8;0.80885
SAUSA300_RS05600;zapA;cell division protein ZapA;1.25;0.9575;-0.09;1;0.29;0.87315;1.07;0.03198
SAUSA300_RS05605;-;CvpA family protein;-0.08;1;-0.09;1;0.29;1;0.34;1
SAUSA300_RS05610;polX;DNA polymerase/3'-5' exonuclease PolX;-1.35;0.26801;-0.56;0.77285;-0.24;1;-0.32;1
SAUSA300_RS05615;-;endonuclease MutS2;-1.56;0.39808;0.19;1;0.42;0.99166;0.68;0.59265
SAUSA300_RS05620;trxA;thioredoxin;-2.88;0.61256;0.4;0.97452;-2.28;0.80514;0.35;1
SAUSA300_RS05625;-;hypothetical protein;-4.28;0.1093;-0.89;1;-0.82;1;-0.53;1
SAUSA300_RS05630;uvrC;excinuclease ABC subunit UvrC;-0.08;1;-0.45;0.52664;0.15;1;-0.27;0.87719
SAUSA300_RS05635;-;succinate dehydrogenase cytochrome b558 subunit;0.26;1;2.19;0.04638;1.38;0.25299;2.36;0.03509
SAUSA300_RS05640;sdhA;succinate dehydrogenase flavoprotein subunit;0.48;0.91856;1.75;0.00395;1.38;0.00401;1.37;0.02477
SAUSA300_RS05645;sdhB;succinate dehydrogenase iron-sulfur subunit;-1.02;0.97212;1.17;0.3945;0.65;0.89681;0.61;0.9739
SAUSA300_RS05650;racE;glutamate racemase;-0.19;1;-0.19;1;0.16;1;-0.19;1
SAUSA300_RS05655;-;XTP/dITP diphosphatase;-0.7;0.93212;-0.55;0.61467;-0.52;0.88965;-0.43;0.86536
SAUSA300_RS05660;-;metallophosphoesterase;0.52;1;-0.21;1;0.21;1;-0.5;0.71063
SAUSA300_RS05665;-;hypothetical protein;-0.86;0.98491;-0.66;0.94689;0.2;1;-0.43;1
SAUSA300_RS05670;ecb;complement convertase inhibitor Ecb;-0.25;1;-0.84;0.63204;-0.58;0.98853;-0.65;0.88532
SAUSA300_RS05675;-;hypothetical protein;-1.04;0.62937;0.74;0.79712;0.77;0.94332;0.25;1
SAUSA300_RS05680;-;formyl peptide receptor-like 1 inhibitory protein;-2.77;0;-1.53;0.08931;-1.18;0.3334;-1.1;0.40935
SAUSA300_RS05685;-;hypothetical protein;-0.2;1;-0.41;0.79712;-0.15;1;-0.15;1
SAUSA300_RS05690;efb;complement convertase inhibitor Efb;0.77;0.91856;0.11;1;0.02;1;0.27;1
SAUSA300_RS05695;scb;complement inhibitor SCIN-B;-0.48;1;-0.68;0.64282;-0.47;0.89681;-0.79;0.60801
SAUSA300_RS05705;-;hypothetical protein;-4.83;0.25655;-0.34;1;-0.18;1;-0.2;1
SAUSA300_RS05715;-;hypothetical protein;1.02;1;0.04;1;-0.23;1;0.63;1
SAUSA300_RS05720;hyl;alpha-hemolysin;0.36;1;-0.02;1;-0.24;0.9968;0.03;1
SAUSA300_RS05725;-;hypothetical protein;-0.38;1;-0.31;0.99937;0.03;1;0.04;1
SAUSA300_RS05730;-;hypothetical protein;0.2;1;-0.64;0.97831;-0.15;1;-0.63;0.98454
SAUSA300_RS05740;-;superantigen-like protein SSL12;0.4;0.99124;-0.93;0.23026;-0.76;0.37959;-0.5;0.65789
SAUSA300_RS05745;-;superantigen-like protein SSL13;0.03;1;0.16;1;0.15;1;0.29;0.86536
SAUSA300_RS05750;-;superantigen-like protein SSL14;-0.55;0.94265;0.08;1;0.32;0.92568;0.21;1
SAUSA300_RS05755;argF;ornithine carbamoyltransferase;0.33;1;-0.45;0.79712;-0.41;0.802;-0.43;0.78233
SAUSA300_RS05760;arcC;carbamate kinase;0.38;0.94265;-0.07;1;-0.09;1;-0.05;1
SAUSA300_RS05765;-;YfcC family protein;-0.11;1;-0.35;0.55493;-0.06;1;-0.08;1
SAUSA300_RS05770;-;hypothetical protein;-0.15;1;-0.54;0.87871;-0.33;0.98416;-0.45;0.92617
SAUSA300_RS05775;-;TDT family transporter;0.01;1;-0.47;0.52664;-0.3;0.8831;-0.56;0.35532
SAUSA300_RS05780;-;hypothetical protein;-0.48;0.87915;-0.48;0.49996;-0.27;0.802;-0.46;0.65789
SAUSA300_RS05790;-;beta-class phenol-soluble modulin;1.02;0.89432;-0.4;1;-0.5;1;0.08;1
SAUSA300_RS05795;-;beta-class phenol-soluble modulin;2.73;1;1.23;1;-0.03;1;-1.08;1
SAUSA300_RS05800;-;YjjG family noncanonical pyrimidine nucleotidase;0.5;0.99226;0.37;0.77285;0.74;0.38412;0.36;0.83319
SAUSA300_RS05805;-;N-acetyltransferase;0.03;1;0.28;1;1.12;0.19307;0.33;0.98563
SAUSA300_RS05810;bshC;bacillithiol biosynthesis cysteine-adding enzyme BshC;-0.66;0.8632;-0.03;1;0.1;1;0.08;1
SAUSA300_RS05845;-;cell division protein FtsQ/DivIB;-0.75;1;-0.64;1;-0.11;1;0.51;0.86536
